,time,mag,lat,long,depth
10,2019-08-14 11:35:12.602626,1.977102243,47.3828502,7.10800725,10272.46094
2,2021-05-04 05:55:59.542035,1.866242648,47.31936404,7.089320445,1586.914062
1,2021-06-02 07:40:32.265401,1.503915524,47.32990359,7.194290004,-332.03125
7,2020-07-08 07:04:28.549788,1.495689385,47.32825078,7.193263222,-277.34375
8,2020-05-13 08:31:29.956073,1.46,47.3315408,7.197871215,-527.34375
15,2018-03-19 15:42:17.553540,1.400633433,47.3315408,7.188868197,1074.21875
12,2019-06-28 12:27:48.399867,1.368706826,47.33010824,7.19383736,810.546875
5,2020-10-09 12:40:12.917107,1.331472567,47.32990359,7.19609058,566.40625
9,2019-11-14 09:38:10.731135,1.319167861,47.32743281,7.191221685,-429.6875
4,2020-10-22 08:36:07.602229,1.278331418,47.33563384,7.194220013,-253.90625
13,2019-03-22 12:25:55.068612,1.255382808,47.38372695,7.1112143,9.765625
11,2019-07-05 11:56:47.020821,1.1843118,47.32928964,7.194747644,-9.765625
3,2021-03-17 12:37:06.052585,1.158004004,47.33727105,7.185196512,1894.53125
0,2021-07-05 17:23:58.399188,1.153286856,47.3540168,7.385978513,12646.48438
6,2020-07-10 13:01:35.930841,1.109885057,47.33379197,7.182088181,1376.953125
16,2017-12-19 22:06:02.831889,1.015948608,47.37937811,7.263152213,17458.49609
14,2018-09-14 13:15:25.808740,1.01,47.32662917,7.196130515,-605.46875
